,Text_balanced,Mapped_Sentiment_Numeric_balanced
112," Meditating by the serene lake, finding inner peace.   ",1
113, Overflowing with gratitude for life's blessings.      ,1
114," Hopeful for a brighter tomorrow, despite challenges.  ",1
115, Empowered to make a difference in my community.        ,1
116, Compassion in action: supporting a local charity event. ,1
117," A moment of tenderness, connecting with loved ones.    ",1
118, Arousal of excitement as I await a special announcement.,0
119, Enthusiastically diving into a new project.            ,1
120, Feeling a sense of fulfillment after reaching a milestone.,1
121, Reverence for the beauty of a historic landmark.       ,1
122, Elation after a surprise reunion with old friends.    ,1
123, The euphoria of a live music concert under the stars.  ,1
124, Contentment in the simplicity of a quiet Sunday.       ,1
125, Serenity found in the pages of a favorite book.        ,1
126, Gratitude for the support received during tough times. ,1
127, Hopeful about the possibilities of a new journey.      ,1
128, Empowerment through learning and personal growth.      ,1
129, Compassion towards those in need during the holidays.  ,1
130, Tenderness in the warmth of a cozy winter evening.     ,1
131, Arousal of excitement for an upcoming adventure.       ,0
132, Enthusiasm for a creative project in the making.       ,1
133, Fulfillment in completing a challenging workout routine.,1
134, Reverence for the artistry displayed in a museum.      ,1
135, Elation after achieving a personal goal.               ,1
136, Elation over discovering a hidden gem in the city.   ,1
137, The euphoria of a surprise birthday celebration.     ,1
138, Contentment in the simplicity of a home-cooked meal. ,1
139, Serenity found in the melody of a peaceful piano.    ,1
140, Gratitude for the supportive community around me.    ,1
141, Hopeful about the prospects of a new business venture.,1
142, Empowerment through mentoring and guiding others.    ,1
143, Compassion shown through acts of kindness in the community.,1
144, Tenderness in a heartfelt message to a loved one.    ,1
145, Arousal of excitement before a much-awaited trip.    ,0
146, Enthusiasm for a new artistic project in the works.  ,1
147, Feeling a sense of fulfillment after helping others. ,1
148, Reverence for the historical significance of a landmark.,1
149, Elation after achieving a fitness milestone.         ,1
150, The euphoria of a successful product launch.         ,1
151, Contentment in the embrace of a loved one.           ,1
152, Serenity found in the beauty of a sunset by the sea.  ,1
153, Gratitude for the small joys that each day brings.   ,1
154, Hopeful about the potential for personal growth.      ,1
155, Empowerment through learning a new skill.            ,1
156, Compassion in volunteering for a local charity.       ,1
157, Tenderness in a quiet moment shared with a pet.      ,1
158, Arousal of excitement for an upcoming festival.       ,0
159, Enthusiasm for a DIY home improvement project.       ,1
160, Fulfillment in completing a challenging puzzle.      ,1
161, Reverence for the wonders of nature on a hiking trail.,1
162, Elation after a surprise reunion with a childhood friend.,1
163, Suffering from despair after another setback.      ,-1
164," Overwhelmed by grief, missing a loved one dearly.  ",-1
165, Loneliness creeps in as the night grows colder.    ,-1
166, Jealousy consumes me as I witness others' success. ,-1
167, Resentment building up over past betrayals.        ,-1
168, Frustration mounts as obstacles block my path.     ,-1
169," Boredom sets in, the day feels endlessly dull.     ",-1
170," Anxiety grips my heart, worry clouds my thoughts.  ",-1
171, Intimidation by the unknown future ahead.          ,-1
172, Helplessness sinks in as challenges pile up.       ,-1
173, Envy eats away at me as I see others' prosperity.  ,-1
174, Regret over missed opportunities haunts my thoughts.,-1
175, Disgust at the sight of injustice and cruelty.     ,-1
176," Drowning in despair, hope slipping through my fingers.",-1
177," Grief weighs heavy, tears a constant companion.    ",-1
178," Loneliness in a crowded room, a silent cry for connection.",-1
179," Jealousy gnaws at my confidence, a toxic emotion.  ",-1
180," Resentment festers, poisoning relationships.       ",-1
181," Frustration boils over, a volcanic eruption of emotions.",-1
182," Boredom settles like dust, life feels mundane.     ",-1
183," Anxiety grips my chest, a relentless grip on my thoughts.",-1
184," Intimidation by the challenges ahead, fear takes hold.",-1
185," Helplessness engulfs me, drowning in a sea of problems.",-1
186," Envy poisons my thoughts, coveting others' success.",-1
187, Regret for decisions that led to a painful present.,-1
188, Disgust at the corruption that stains society.     ,-1
189," Sinking in despair, each day darker than the last. ",-1
190," Grief overwhelms, a storm of emotions within.      ",-1
191," Loneliness echoes in empty spaces, yearning for connection.",-1
192," Jealousy poisons my thoughts, resentment brewing within.",-1
193," Resentment festers, a wound that refuses to heal.  ",-1
194," Frustration escalates, a thunderstorm of emotions. ",-1
195," Boredom lingers, a stagnant pool of indifference.  ",-1
196," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",0
197," Lost in the vast sea of information, an indifferent wave in the digital ocean. ",0
198," The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",0
199," A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",0
200," Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",-1
201," Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",0
202," Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",0
203," Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",0
204," Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",1
205," Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",1
206," Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",0
207," Floating through the day with an air of indifference, detached from the mundane happenings around. ",0
208," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",0
209," Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",0
210," Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",-1
211," Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",0
212," A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",0
213," Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",0
214," Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",1
215," Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",1
216," Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",0
217," Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",0
218," Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",0
219," Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",0
220," A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",-1
221," Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",0
222," Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",0
223," Embracing life's imperfections, finding acceptance in the journey, scars and all. ",0
224," A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",1
225," Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",1
226," Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",0
227," Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",0
228," An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",0
229," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",-1
230," A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",0
231," Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",0
232," Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",0
233," Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",1
234," Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",1
235," Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",0
236," Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",0
237," Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",0
238," Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",0
239," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",-1
240," Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",0
241," Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",0
242," Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",0
243," Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",1
244," Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",1
245," Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",0
246,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",0
247," Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",1
248," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",1
249," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",1
250," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",1
251," A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",1
252," Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",1
253," Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",1
254," Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",1
255," Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",1
256," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",1
257," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",1
258," Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",1
259," Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",1
260," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",0
261," In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",0
262," Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",1
263," With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",1
264," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",1
265," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",1
266," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",1
267," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",1
268," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",1
269," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",1
270," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",1
271," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",1
272," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",1
273," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",1
274," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",1
275," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",1
276," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",1
277," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",1
278," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",-1
279," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",-1
280," Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",-1
281," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",0
282," Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",-1
283," Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",-1
284," Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",-1
285," Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",-1
286," Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",-1
287," Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",-1
288," Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",-1
289," Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",-1
290," Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",-1
291," Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",-1
292," Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",-1
293," Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",-1
294," Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",-1
295," Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. ",-1
296," Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",-1
297," Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. ",-1
298," Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights. ",-1
299," Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",-1
300," Despair like a heavy fog, enveloping every thought, blurring the path ahead, a journey in the labyrinth of utter hopelessness. ",-1
301," Bitterness, a bitter chill in the air, freezing moments into icicles of resentment that dangle precariously over the landscape of memory. ",-1
302," Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",-1
303," Yearning for the warmth of a vanished sun, a heartache painted in the hues of a sunset that never graced the horizon. ",0
304," Fearful eyes scanning the shadows, a prisoner of the night, terrorized by the lurking monsters born from the mind's darkest corners. ",-1
305," Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",-1
306," Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience. ",-1
307," Jealousy, a festering wound, the pain intensifying with each glance at the garden of others' achievements, blooming beyond the fence. ",-1
308," Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",-1
309," Frustrated attempts to untangle the knot of confusion, the threads of understanding slipping further into the labyrinth of miscommunication. ",-1
310," Envious eyes locked on the treasure chest of opportunities, a heartache fueled by the desire for keys that seem forever elusive. ",-1
311,Awe-struck by the breathtaking sunrise over the mountains.      ,1
312,Navigating through the challenges with determination.          ,1
313,Nostalgia hits while flipping through an old photo album.     ,0
314,Thrilled to witness the grandeur of a cultural festival.       ,1
315,Calmness found in the rhythm of raindrops on the windowpane.   ,0
316,Overwhelmed by the support received during a personal challenge.,-1
317,Excitement builds as the countdown to a long-awaited vacation begins. ,1
318,"Reflecting on life's journey, grateful for the lessons learned. ",1
319,Bittersweet emotions arise while bidding farewell to a dear friend. ,0
320,Curiosity sparked by exploring a mysterious ancient ruin.      ,0
321,Admiration for the intricate details of a handcrafted masterpiece. ,1
322,Overjoyed by the warmth of a cozy fireplace on a winter evening.   ,1
323,Inspiration strikes while observing the colors of a vibrant sunset.,1
324,Motivated to achieve fitness goals after an invigorating workout.  ,1
325,Gratitude for the simple joys found in a cup of morning coffee.    ,1
326,Feeling empowered after conquering a challenging hiking trail.     ,1
327,Amused by the antics of playful kittens during playtime.           ,1
328,Contemplating life's mysteries under the starry night sky.         ,0
329,Joyful reunion with long-lost friends after years of separation.   ,1
330,Excitement builds while preparing for a surprise celebration.     ,1
331,Satisfaction derived from successfully completing a DIY project.  ,1
332,Feeling blessed for the supportive community in times of need.    ,1
333,Captivated by the serenity of a tranquil garden in full bloom.     ,1
334,Anticipation for an upcoming adventure in an exotic destination.   ,1
335,Reflecting on personal growth achieved through life experiences.  ,0
336,Nostalgic memories flood in while revisiting childhood favorites. ,0
337,Appreciation for the vibrant culture experienced during travel.   ,1
338,Confidence soars after overcoming public speaking anxiety.       ,1
339,Contentment in the midst of a family gathering filled with laughter. ,1
340,Enthusiasm for learning new skills and expanding knowledge.      ,1
341,Surprise and delight at discovering a hidden gem in the city.    ,0
342,A sense of accomplishment after completing a challenging workout.,1
343,Wonderment at the beauty of a double rainbow after the rain.     ,1
344,Optimism for a bright future amidst challenging times.           ,1
345,Pride in achieving a personal milestone in career progression.   ,1
346,Happiness blooms like flowers in a garden on a sunny day.        ,1
347,Elation over discovering a rare book in a quaint bookstore.      ,1
348,Curiosity piqued by the mysteries of an ancient archaeological site.,0
349,Mesmerized by the cosmic dance of fireflies on a moonlit night.    ,1
350,Intrigued by the symphony of colors in an abstract art exhibition. ,0
351,Giggles and joy echo in the air during a children's playdate.      ,1
352,Enveloped in serenity while practicing mindfulness by the lake.    ,1
353,Chasing dreams like a kite soaring high in the vast open sky.      ,1
354,Spellbound by the elegance of a ballroom dance under crystal chandeliers. ,0
355,Whimsical delight in a world of fairy tales and magical creatures.  ,1
356,Pensive contemplation amid the ancient ruins of a forgotten civilization. ,0
357,Embracing the thrill of speed on a rollercoaster's exhilarating twists. ,1
358,Harmony resonates as musicians play a melody of unity and togetherness. ,1
359,A burst of creativity in the quiet solitude of an artist's studio.  ,1
360,Radiant joy akin to blooming flowers on a sun-kissed spring morning. ,1
361,A sense of wonder at the vastness of the cosmos on a stargazing night. ,1
362,Rejuvenated by the salty breeze and the sound of waves at the seaside. ,1
363,Whispers of inspiration from the rustling leaves in a serene forest. ,1
364,Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,1
365,Heartfelt gratitude for the laughter shared during a family reunion. ,1
366,"Embarking on a culinary adventure, savoring exotic flavors around the world. ",1
367,Euphoria floods in as the final puzzle piece clicks into place.       ,1
368,Awe-inspired by the grandeur of an ancient cathedral's intricate architecture. ,1
369,Captivated by the ethereal beauty of a field filled with fireflies. ,1
370,Immersed in the enchanting melodies of a street musician's violin. ,1
371,Joyful laughter resonates through a lively summer carnival.         ,1
372,Exploring the universe within during a mindful meditation session. ,1
373,Soaring like a free spirit on the winds of a coastal cliff.        ,1
374,Dazzled by the elegance of a masquerade ball's dazzling costumes. ,1
375,Whimsical delight in a world of whimsical fairy tales.             ,1
376,Reflective contemplation amid the ruins of a forgotten era.        ,0
377,Riding the adrenaline rush on a rollercoaster's wild twists.      ,1
378,Harmony resonates as musicians play a symphony of unity.           ,1
379,A burst of artistic creativity in the quietude of an artist's studio. ,1
380,Radiant joy akin to blossoming flowers on a sunlit spring morning. ,1
381,Awe-inspired by the vastness of the cosmos on a stargazing night.   ,1
382,"Embarking on a culinary odyssey, savoring flavors around the world. ",1
383,Euphoria floods in as the final puzzle piece fits perfectly.       ,1
384,Awe-struck by the grandeur of an ancient cathedral's intricate architecture. ,1
385,Curiosity awakened by the mysteries of an ancient archaeological site. ,0
386,Giddy with excitement as the first snowflakes dance from the sky. ,1
387,Contentment envelops as the aroma of freshly baked bread fills the air. ,1
388,Inspired by the resilience of a lone tree standing tall in a storm. ,1
389,"Lost in the pages of a captivating novel, transported to another world. ",0
390,Drenched in nostalgia while flipping through an old family photo album. ,0
391,Spark of inspiration ignites like a shooting star in the night sky. ,1
392,Imbued with gratitude for the simple pleasure of a warm cup of tea. ,1
393,Marveling at the kaleidoscope of colors in a vibrant street market. ,1
394,Awash with serenity as the sun sets over a tranquil lakeside retreat. ,1
395,Drowning in sorrow as memories of lost love resurface.            ,-1
396,Numbness sets in as the weight of loneliness grows heavier.       ,-1
397,"Tears fall like raindrops, mourning the end of a cherished friendship. ",-1
398,"Despair clouds the mind, feeling adrift in an endless sea of darkness. ",-1
399,"Shattered by betrayal, trust crumbles like fragile glass.          ",-1
400,"Aching heart, the symphony of pain plays in the silence of solitude. ",-1
401,"Emotional storm, a whirlwind of sadness engulfs every thought.    ",-1
402,"Haunted by regrets, the ghost of the past lingers relentlessly.   ",-1
403,"Torn apart by grief, the echoes of loss reverberate through the soul. ",-1
404,"Isolation deepens, an emotional winter where warmth is but a distant memory. ",-1
405,"Soul-crushing disappointment, hopes shattered like fragile glass. ",-1
406,"Painful echoes of a love once cherished, now lost in the abyss of time. ",-1
407,"Heartache deepens, a solitary journey through the abyss of despair. ",-1
408,"Melancholy lingers, a bittersweet serenade in the quietude of solitude. ",-1
409,"Bitterness like a poison, seeping into every crevice of the wounded heart. ",-1
410,"Emotional exhaustion, the weight of the world crushing weary shoulders. ",-1
411,"Sorrowful echoes, a symphony of pain played by the strings of loss. ",-1
412,"Darkness descends, engulfing the soul in the shadows of despair.  ",-1
413,"Desperation whispers, the silent plea for a glimmer of hope in the abyss. ",-1
414,"Heart in ruins, the remnants of shattered dreams scattered in the wind. ",-1
415,"Shattered by the echoes of a shattered dream, fragments of hope scattered. ",-1
416,"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",-1
417,"In the labyrinth of grief, the walls echo with the footsteps of lost joy. ",-1
418,"A soul adrift in the sea of solitude, waves of loneliness crashing relentlessly. ",-1
419,"The bitterness of betrayal, a taste that lingers, staining the palate of trust. ",-1
420,"In the ruins of hope, echoes of shattered dreams whisper tales of loss. ",-1
421,"Sinking like a stone in the ocean of heartbreak, each ripple a sigh of despair. ",-1
422,"Tears, the ink staining the pages of a journal, a testament to silent grief. ",-1
423,"In the wasteland of lost trust, the echoes of broken promises reverberate. ",-1
424,"Avoiding the shards of shattered dreams, walking the tightrope of resilience. ",1
425,"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",-1
426,"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",-1
427,"In the labyrinth of despair, the echoes of a broken heart reverberate endlessly. ",-1
428,"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",-1
429,"In the garden of broken dreams, petals fall, a silent testimony to shattered hopes. ",-1
430,"Tears, the currency of grief, spent in the marketplace of lost love and longing. ",-1
431,"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",-1
432,"A soul weathered by the storm of heartbreak, seeking refuge in the calm after. ",-1
433,"In the tapestry of despair, threads of hope unravel, leaving a portrait of sorrow. ",-1
434,"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",-1
435,"In the void of heartache, echoes of a love song play, each note a pang of longing. ",-1
436,"Nostalgia, a bittersweet dance in the moonlit ballroom of cherished memories. ",0
437,"In the symphony of grief, each tear is a note, composing a melancholic melody. ",-1
438,"Betrayal, a venomous serpent slithering through the garden of trust, poisoning roots. ",-1
439,"Sinking in the quicksand of despair, the harder you fight, the deeper you descend. ",-1
440,"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",-1
441,"Swept away by the river of regret, the currents of the past refusing to release. ",-1
442,"Whispers of lost love linger in the attic of the heart, forgotten but not erased. ",-1
443,"In the gallery of broken promises, each shattered vow framed, a painful exhibition. ",-1
444,"The echoes of solitude, a silent conversation between a soul and its shadows. ",0
